income,hrs_work,race,age,gender,citizen,time_to_work,lang,married,edu,disability,birth_qrtr
1300,6,black,78,female,yes,2,english,no,hs or lower,yes,jul thru sep
85000,40,white,59,male,yes,15,english,yes,hs or lower,no,jan thru mar
6000,21,other,32,female,no,30,other,no,hs or lower,no,jul thru sep
37000,45,other,33,male,no,20,other,yes,hs or lower,no,jan thru mar
44000,55,white,38,male,yes,20,english,yes,college,no,apr thru jun
0,40,white,53,male,yes,10,english,yes,hs or lower,no,jan thru mar
13000,20,white,73,female,yes,5,english,no,hs or lower,no,apr thru jun
100000,50,white,52,male,yes,60,english,yes,college,no,jul thru sep
250000,36,white,37,male,yes,5,english,yes,grad,no,apr thru jun
24600,37,white,60,female,yes,10,english,no,hs or lower,no,oct thru dec
50000,50,other,54,male,yes,17,other,yes,hs or lower,no,apr thru jun
36600,40,white,39,female,yes,20,other,no,hs or lower,no,jul thru sep
24000,40,white,46,female,yes,15,english,no,hs or lower,no,jan thru mar
35000,60,white,64,male,yes,75,english,yes,hs or lower,no,jan thru mar
16600,24,white,73,female,yes,20,english,yes,hs or lower,yes,jan thru mar
30000,36,white,58,female,yes,10,english,yes,grad,no,jan thru mar
8000,20,white,41,female,yes,30,other,yes,grad,no,jan thru mar
25000,40,white,29,female,yes,15,english,no,hs or lower,no,apr thru jun
10000,40,white,35,female,yes,5,english,no,hs or lower,no,jan thru mar
80000,40,white,38,male,yes,20,other,no,grad,no,apr thru jun
40000,40,black,28,male,yes,40,english,yes,hs or lower,no,apr thru jun
130000,50,white,34,male,yes,40,english,no,hs or lower,no,oct thru dec
33300,50,white,25,male,yes,20,english,no,college,no,jul thru sep
65000,40,white,38,female,no,90,other,no,hs or lower,no,oct thru dec
3000,35,white,21,male,yes,3,english,no,hs or lower,no,jan thru mar
70000,50,white,54,male,yes,15,english,yes,college,no,jan thru mar
36000,50,white,37,male,yes,15,english,yes,hs or lower,no,oct thru dec
399000,40,white,62,male,yes,60,english,yes,grad,no,jan thru mar
25000,40,white,54,male,yes,10,english,yes,hs or lower,no,oct thru dec
46000,40,other,25,male,yes,70,english,no,hs or lower,no,jul thru sep
12000,40,black,47,male,yes,20,english,no,hs or lower,no,oct thru dec
86000,44,white,55,male,yes,40,english,yes,hs or lower,no,oct thru dec
19200,40,white,25,female,yes,10,english,no,hs or lower,no,jan thru mar
350,30,white,50,female,yes,20,english,no,college,no,oct thru dec
75000,40,white,59,male,yes,20,english,yes,college,no,jul thru sep
2800,15,black,19,female,yes,5,english,no,hs or lower,no,oct thru dec
8000,25,white,24,male,yes,45,english,no,hs or lower,no,apr thru jun
20000,40,white,30,female,yes,20,english,yes,hs or lower,no,jul thru sep
20000,35,black,41,female,yes,10,english,yes,hs or lower,no,jul thru sep
50000,40,black,29,female,yes,10,english,no,college,no,oct thru dec
19500,40,black,53,male,yes,20,english,yes,hs or lower,no,apr thru jun
130000,45,asian,44,male,no,70,other,yes,grad,no,jan thru mar
92000,40,white,36,male,yes,30,english,yes,hs or lower,no,jan thru mar
8000,40,black,59,male,yes,10,english,yes,hs or lower,no,jul thru sep
50000,40,white,27,male,yes,45,english,no,college,no,jan thru mar
104000,45,white,60,male,yes,27,english,no,college,no,apr thru jun
26000,40,white,53,female,yes,20,english,no,college,no,oct thru dec
70000,40,white,59,female,yes,15,english,yes,grad,no,jul thru sep
14700,10,other,67,female,yes,6,other,no,grad,no,jan thru mar
68000,40,white,27,male,yes,15,english,no,hs or lower,no,jul thru sep
288000,60,white,34,male,yes,35,english,yes,college,no,jul thru sep
90000,40,white,58,male,yes,75,english,yes,college,no,jan thru mar
43600,40,white,61,female,yes,35,english,no,college,no,oct thru dec
26000,45,white,29,male,yes,20,english,no,hs or lower,no,jan thru mar
24000,38,white,51,female,yes,15,english,yes,hs or lower,no,jan thru mar
0,65,white,59,male,yes,5,english,yes,hs or lower,yes,jul thru sep
0,4,other,50,male,yes,35,english,no,hs or lower,yes,jan thru mar
94000,60,white,49,male,yes,15,english,yes,college,no,jul thru sep
0,35,white,36,male,yes,3,english,yes,grad,no,jan thru mar
15000,50,white,22,male,yes,15,english,no,hs or lower,no,oct thru dec
31000,40,white,26,male,yes,45,english,no,hs or lower,no,oct thru dec
25000,25,black,28,male,yes,60,other,no,college,no,oct thru dec
58000,40,white,53,male,yes,10,english,yes,hs or lower,no,oct thru dec
32200,40,other,72,male,yes,30,english,yes,hs or lower,no,apr thru jun
53000,45,white,53,male,yes,5,english,yes,hs or lower,no,oct thru dec
32000,40,black,30,female,yes,20,english,no,college,no,jul thru sep
15000,23,white,25,female,yes,40,english,no,college,no,oct thru dec
18000,40,white,55,male,yes,30,english,no,hs or lower,no,jul thru sep
17100,40,white,44,male,yes,142,english,yes,hs or lower,no,apr thru jun
3000,25,white,29,male,yes,60,other,no,hs or lower,yes,oct thru dec
135000,60,white,60,male,yes,5,english,yes,college,no,jan thru mar
800,11,white,39,female,yes,45,english,yes,hs or lower,no,apr thru jun
18000,40,white,37,female,yes,35,english,yes,grad,no,jan thru mar
81000,50,white,64,male,yes,3,english,yes,grad,no,oct thru dec
20000,30,white,21,female,yes,35,other,no,hs or lower,no,jul thru sep
38000,48,black,44,female,yes,30,english,no,college,no,jan thru mar
51000,40,asian,61,female,no,15,other,yes,college,no,oct thru dec
0,36,white,40,female,yes,10,english,yes,hs or lower,no,jan thru mar
670,15,white,34,female,yes,30,english,no,college,no,oct thru dec
40000,45,white,23,male,yes,40,english,no,college,no,apr thru jun
9000,48,white,50,male,yes,10,english,yes,hs or lower,no,jul thru sep
65000,40,other,43,male,yes,15,english,yes,college,no,jul thru sep
128000,50,white,46,male,yes,60,english,yes,hs or lower,no,jul thru sep
50000,75,white,35,male,yes,3,english,yes,hs or lower,no,jul thru sep
32900,38,white,50,male,yes,20,english,yes,grad,no,jan thru mar
75000,50,white,44,male,yes,1,english,no,hs or lower,no,oct thru dec
22000,36,white,28,female,yes,20,english,yes,hs or lower,no,apr thru jun
35000,60,white,51,male,yes,15,other,yes,hs or lower,no,apr thru jun
95000,40,black,62,male,yes,60,english,yes,college,no,jul thru sep
35500,45,white,29,male,yes,10,english,no,college,no,apr thru jun
0,60,white,46,male,yes,15,english,yes,grad,no,oct thru dec
24000,36,white,27,female,yes,25,english,no,college,no,jul thru sep
110000,35,white,57,female,yes,5,english,no,hs or lower,no,jul thru sep
17000,40,white,24,male,yes,5,english,no,hs or lower,no,apr thru jun
35000,40,white,52,male,yes,15,english,yes,hs or lower,no,jul thru sep
38000,60,white,49,female,yes,45,english,yes,hs or lower,no,oct thru dec
5000,30,white,18,female,yes,10,english,no,hs or lower,no,jul thru sep
1200,25,white,20,male,yes,15,english,no,hs or lower,yes,oct thru dec
5000,15,white,18,male,yes,10,english,no,hs or lower,no,jan thru mar
22000,40,white,41,female,no,7,other,no,hs or lower,no,jul thru sep
40000,40,other,46,male,yes,15,other,yes,college,no,oct thru dec
60000,40,white,67,male,yes,30,english,yes,college,no,jan thru mar
46000,40,white,48,female,yes,20,english,yes,college,no,oct thru dec
28000,40,white,58,female,yes,7,other,yes,hs or lower,no,jan thru mar
130000,60,white,57,male,yes,20,english,yes,college,no,apr thru jun
20000,40,other,61,female,no,30,other,yes,hs or lower,no,oct thru dec
70000,48,white,38,male,yes,40,english,no,college,no,apr thru jun
42000,40,white,30,female,yes,25,english,yes,college,no,apr thru jun
60000,40,white,30,male,yes,25,english,yes,hs or lower,no,apr thru jun
340000,20,white,67,male,yes,45,english,yes,grad,no,oct thru dec
18000,40,black,26,male,yes,20,english,no,hs or lower,no,oct thru dec
20000,40,asian,25,male,yes,40,other,no,college,no,jul thru sep
15000,36,white,24,male,yes,90,english,no,hs or lower,no,oct thru dec
40000,42,white,46,female,yes,25,english,yes,college,no,apr thru jun
40600,40,white,63,male,yes,45,english,yes,hs or lower,no,jul thru sep
40000,42,black,46,male,yes,12,english,yes,college,no,oct thru dec
345000,60,white,41,male,yes,25,english,yes,college,no,jul thru sep
16200,40,asian,23,male,no,15,other,no,hs or lower,no,jan thru mar
3900,32,white,19,male,yes,20,english,no,hs or lower,no,jan thru mar
11000,35,black,19,male,yes,60,english,no,hs or lower,no,apr thru jun
52000,45,black,59,female,yes,25,english,yes,hs or lower,no,oct thru dec
51000,40,white,56,male,yes,10,english,yes,grad,no,jul thru sep
45000,32,black,61,female,yes,5,english,no,college,no,oct thru dec
58000,43,white,55,male,yes,35,english,yes,hs or lower,no,jan thru mar
0,6,white,66,female,yes,15,english,no,college,no,jul thru sep
10500,40,white,44,female,yes,60,english,no,college,no,apr thru jun
0,50,white,56,male,yes,25,english,no,college,no,apr thru jun
75000,40,white,44,male,yes,30,english,yes,hs or lower,no,oct thru dec
45000,50,white,38,male,yes,5,english,yes,grad,no,jul thru sep
800,30,white,53,male,yes,45,english,no,hs or lower,yes,oct thru dec
6000,25,white,23,male,yes,5,english,no,hs or lower,no,jul thru sep
158000,40,white,54,female,yes,15,english,yes,college,no,jul thru sep
58000,50,other,40,male,yes,25,other,yes,hs or lower,no,oct thru dec
20200,40,white,29,female,no,60,other,yes,college,no,jan thru mar
63000,60,black,48,male,yes,15,english,yes,college,no,jul thru sep
31000,40,white,34,female,yes,75,english,no,hs or lower,no,oct thru dec
27000,40,white,49,female,yes,25,english,yes,hs or lower,no,jul thru sep
25000,40,other,20,female,yes,20,english,no,hs or lower,no,jan thru mar
37600,70,white,55,male,yes,30,english,yes,hs or lower,no,oct thru dec
28500,40,other,54,male,yes,10,other,yes,hs or lower,no,jan thru mar
23000,60,black,59,male,yes,10,english,no,hs or lower,no,oct thru dec
2500,7,white,94,male,yes,5,english,no,college,yes,jan thru mar
25000,25,black,53,female,yes,30,english,yes,hs or lower,no,jan thru mar
41000,40,white,42,male,yes,90,english,yes,college,no,apr thru jun
79000,50,white,35,female,yes,30,english,yes,grad,no,jul thru sep
58000,35,white,59,female,yes,40,english,yes,college,no,oct thru dec
40000,40,white,43,male,yes,15,english,yes,hs or lower,no,jul thru sep
5200,25,white,35,female,yes,5,english,no,hs or lower,yes,apr thru jun
12000,40,white,23,female,yes,40,other,no,hs or lower,no,jul thru sep
34000,36,black,46,female,no,45,other,no,hs or lower,no,apr thru jun
19200,40,white,36,male,yes,25,english,yes,hs or lower,no,jul thru sep
18000,20,white,71,female,yes,10,english,no,hs or lower,no,apr thru jun
26000,40,white,30,male,yes,20,english,yes,hs or lower,no,apr thru jun
3500,20,other,21,female,yes,7,other,yes,hs or lower,no,apr thru jun
36000,43,white,48,male,yes,8,english,yes,hs or lower,no,apr thru jun
9600,40,white,32,female,yes,30,english,no,college,no,oct thru dec
17000,32,white,54,female,yes,10,english,yes,hs or lower,no,jul thru sep
19000,40,white,48,female,yes,15,english,no,hs or lower,no,oct thru dec
12000,30,asian,21,male,no,15,english,no,hs or lower,no,oct thru dec
45000,30,white,48,male,yes,15,english,yes,hs or lower,no,apr thru jun
52000,50,white,39,male,yes,30,english,yes,hs or lower,no,jul thru sep
1200,20,black,22,female,yes,15,english,no,college,no,jul thru sep
50,5,asian,30,female,yes,20,english,yes,college,no,jul thru sep
9000,40,other,25,male,no,45,other,no,college,no,apr thru jun
40000,40,white,51,male,yes,20,english,yes,hs or lower,no,jan thru mar
5100,32,white,19,male,yes,30,other,no,hs or lower,no,jan thru mar
78000,50,white,47,male,yes,60,english,yes,college,no,apr thru jun
30000,40,white,43,male,yes,30,other,yes,hs or lower,no,jan thru mar
2500,9,black,30,female,yes,60,english,no,college,no,jul thru sep
51000,40,other,49,male,yes,20,other,yes,grad,no,oct thru dec
70000,40,white,44,female,yes,15,english,yes,hs or lower,no,jan thru mar
40000,55,white,53,female,yes,15,english,yes,grad,no,jan thru mar
56000,40,white,50,male,yes,20,english,yes,hs or lower,no,oct thru dec
12800,40,white,26,female,yes,30,english,no,hs or lower,no,apr thru jun
100000,60,white,41,male,yes,35,english,yes,grad,no,apr thru jun
55000,40,white,36,male,yes,45,english,yes,college,no,apr thru jun
30000,40,white,47,female,yes,30,english,yes,college,no,oct thru dec
345000,60,white,64,male,yes,40,english,yes,grad,no,jul thru sep
345000,80,asian,40,male,no,5,other,yes,hs or lower,no,oct thru dec
80000,40,white,52,female,yes,12,english,no,hs or lower,no,oct thru dec
15000,18,white,36,female,yes,20,english,yes,hs or lower,no,apr thru jun
60000,45,white,61,male,yes,119,other,no,hs or lower,yes,jan thru mar
14000,40,white,35,male,yes,75,english,yes,hs or lower,no,apr thru jun
80000,45,white,47,female,yes,35,english,yes,grad,no,oct thru dec
13000,24,white,62,male,yes,5,english,yes,hs or lower,no,apr thru jun
50000,40,white,40,male,yes,5,english,yes,hs or lower,no,apr thru jun
30000,60,white,29,female,yes,3,other,no,college,no,apr thru jun
42000,40,white,24,female,yes,45,english,yes,college,no,jul thru sep
8000,30,white,25,male,yes,10,english,no,hs or lower,no,apr thru jun
1200,38,white,19,male,yes,15,english,no,hs or lower,no,jul thru sep
40000,40,black,32,male,yes,20,english,yes,hs or lower,no,oct thru dec
70000,40,white,60,male,yes,30,english,yes,college,no,apr thru jun
40000,40,white,62,female,yes,20,english,no,college,no,oct thru dec
10000,30,white,18,male,no,35,other,no,hs or lower,no,apr thru jun
29000,40,white,41,female,yes,20,english,no,hs or lower,no,jul thru sep
12000,12,white,68,female,yes,20,english,yes,hs or lower,no,jul thru sep
34000,40,white,56,female,yes,20,english,no,college,no,apr thru jun
17000,40,white,22,male,yes,15,english,no,college,no,oct thru dec
100000,40,asian,59,male,yes,30,other,yes,college,no,jul thru sep
114000,45,black,62,female,yes,45,english,no,grad,no,jan thru mar
62000,40,white,48,female,yes,80,english,no,hs or lower,no,jan thru mar
15000,50,white,23,male,yes,5,english,no,college,no,apr thru jun
20000,50,other,30,male,no,25,other,yes,grad,no,apr thru jun
36000,40,white,48,female,yes,25,english,yes,hs or lower,no,jul thru sep
8500,48,white,58,male,yes,50,english,yes,college,yes,oct thru dec
60000,40,white,57,male,yes,10,english,yes,hs or lower,no,apr thru jun
40000,40,white,52,male,yes,10,english,yes,hs or lower,no,oct thru dec
4500,25,white,20,male,yes,10,english,no,hs or lower,no,oct thru dec
19200,70,white,20,male,yes,3,other,no,hs or lower,yes,apr thru jun
11000,20,white,69,male,yes,20,english,yes,grad,yes,apr thru jun
36000,40,black,48,male,yes,15,english,yes,hs or lower,yes,jan thru mar
41000,50,white,52,male,no,30,other,yes,hs or lower,no,oct thru dec
313000,30,white,32,male,yes,10,english,yes,hs or lower,no,oct thru dec
75000,32,white,37,female,yes,15,english,no,hs or lower,no,jul thru sep
43000,40,white,29,female,yes,25,english,yes,college,no,oct thru dec
27000,40,white,62,female,yes,10,english,yes,hs or lower,no,oct thru dec
17000,99,other,36,male,yes,20,other,no,college,no,jan thru mar
90000,40,white,48,male,yes,8,english,no,college,no,jan thru mar
21000,40,black,31,female,yes,20,english,no,hs or lower,no,oct thru dec
30000,40,white,30,female,yes,45,english,no,hs or lower,no,apr thru jun
0,28,white,88,male,yes,15,english,yes,college,no,apr thru jun
0,40,white,22,female,yes,15,english,no,college,no,jan thru mar
10000,15,white,54,male,yes,30,english,yes,hs or lower,no,apr thru jun
4500,30,black,21,male,yes,45,english,no,hs or lower,no,jul thru sep
35000,40,white,44,male,yes,40,english,no,hs or lower,no,oct thru dec
21600,40,white,51,female,yes,60,english,yes,hs or lower,no,jan thru mar
0,45,white,34,male,yes,30,english,no,hs or lower,no,apr thru jun
113000,60,asian,39,male,yes,20,other,yes,college,no,oct thru dec
17000,32,black,32,female,yes,15,english,no,hs or lower,no,jul thru sep
95000,11,white,52,male,yes,30,english,yes,hs or lower,no,jul thru sep
50000,40,white,39,male,no,40,other,yes,hs or lower,no,apr thru jun
25000,40,white,50,male,yes,25,english,yes,hs or lower,no,apr thru jun
23000,40,white,54,female,yes,15,english,yes,hs or lower,no,jan thru mar
6400,32,black,28,female,yes,35,english,no,hs or lower,no,oct thru dec
62000,40,white,35,female,yes,45,english,no,college,no,jul thru sep
160000,20,white,68,male,yes,1,english,yes,grad,no,jan thru mar
95000,40,white,61,female,yes,5,english,no,grad,no,jul thru sep
65000,40,white,70,male,yes,25,english,yes,hs or lower,no,jan thru mar
100000,40,white,30,male,yes,15,english,yes,grad,no,apr thru jun
80000,60,white,60,male,yes,15,english,no,college,no,jul thru sep
39500,40,white,46,male,yes,30,english,yes,hs or lower,no,apr thru jun
10000,20,other,20,female,yes,30,other,no,hs or lower,yes,oct thru dec
56000,40,white,66,male,yes,2,english,yes,hs or lower,no,jul thru sep
100000,40,white,43,male,yes,15,english,yes,hs or lower,no,jul thru sep
10200,50,white,58,male,yes,50,english,yes,hs or lower,no,jul thru sep
25000,40,white,54,female,yes,35,other,no,hs or lower,no,oct thru dec
85000,50,white,58,male,yes,15,english,yes,hs or lower,no,jul thru sep
55000,40,black,59,male,yes,35,english,yes,hs or lower,yes,apr thru jun
10000,25,other,40,female,yes,10,english,yes,hs or lower,no,apr thru jun
5000,8,white,34,female,yes,15,english,yes,college,no,oct thru dec
11400,20,black,54,female,yes,25,english,no,hs or lower,yes,jul thru sep
1100,40,white,33,female,no,20,other,yes,hs or lower,yes,apr thru jun
23000,40,other,19,male,yes,40,other,no,hs or lower,no,oct thru dec
0,35,white,45,female,yes,5,english,no,college,no,jul thru sep
20000,40,white,57,female,no,45,other,yes,hs or lower,yes,apr thru jun
9000,50,white,42,female,yes,2,english,yes,hs or lower,no,apr thru jun
65000,40,white,43,male,yes,20,english,no,college,no,oct thru dec
45000,40,white,28,female,yes,45,other,yes,hs or lower,no,oct thru dec
48000,40,white,47,female,yes,30,english,yes,hs or lower,no,jul thru sep
4800,40,white,48,male,yes,20,other,no,college,no,jul thru sep
70000,50,white,59,male,yes,1,english,yes,hs or lower,no,jan thru mar
23000,40,black,47,female,yes,15,english,no,hs or lower,no,jul thru sep
18000,35,white,45,female,yes,15,other,yes,hs or lower,no,oct thru dec
30000,45,other,40,male,yes,5,other,yes,hs or lower,no,oct thru dec
28000,36,white,54,male,yes,20,english,yes,hs or lower,no,jan thru mar
25000,40,black,61,female,yes,30,english,no,college,yes,apr thru jun
19000,40,black,26,male,no,20,other,no,hs or lower,no,jan thru mar
14800,40,black,64,male,yes,20,english,no,hs or lower,yes,apr thru jun
100000,40,asian,48,male,no,15,other,no,grad,no,oct thru dec
50000,32,other,48,female,yes,45,english,no,college,no,jul thru sep
36000,48,white,47,male,yes,30,english,no,hs or lower,no,apr thru jun
60000,50,white,29,male,yes,50,english,yes,hs or lower,no,oct thru dec
42000,40,white,29,male,yes,20,english,yes,hs or lower,no,jan thru mar
5200,32,white,36,female,yes,10,english,yes,hs or lower,no,oct thru dec
29000,40,white,55,female,yes,10,other,yes,hs or lower,no,jan thru mar
56000,50,white,42,female,yes,145,english,yes,college,no,apr thru jun
0,40,white,66,male,yes,30,english,yes,hs or lower,yes,jul thru sep
24000,50,white,43,male,yes,5,english,yes,hs or lower,no,jan thru mar
58000,40,white,48,male,yes,25,other,no,college,no,jul thru sep
78000,42,white,35,female,yes,15,english,yes,grad,no,jan thru mar
65000,35,white,37,male,yes,30,english,yes,hs or lower,no,jul thru sep
110000,65,white,28,male,yes,152,english,yes,college,no,oct thru dec
45000,40,white,30,male,yes,30,english,yes,hs or lower,no,jul thru sep
28000,40,black,49,male,yes,4,english,no,grad,no,apr thru jun
60000,60,black,61,female,yes,30,english,no,hs or lower,no,jan thru mar
9000,40,white,37,male,yes,20,english,yes,hs or lower,yes,jan thru mar
1200,20,white,23,male,yes,10,english,no,college,no,jul thru sep
50000,40,white,57,male,yes,20,other,yes,hs or lower,no,oct thru dec
50000,40,white,41,female,yes,35,english,yes,grad,no,jan thru mar
41600,40,white,73,male,yes,60,english,yes,grad,no,jan thru mar
36000,36,black,41,female,yes,90,english,yes,college,no,apr thru jun
20000,40,white,49,female,yes,75,english,no,hs or lower,no,jul thru sep
35000,40,white,23,female,yes,5,english,no,college,no,oct thru dec
37000,40,white,59,female,yes,15,english,yes,hs or lower,no,oct thru dec
35000,42,white,59,female,yes,1,english,yes,hs or lower,no,apr thru jun
50000,40,white,53,female,yes,45,english,no,grad,yes,apr thru jun
45000,40,white,40,male,yes,45,english,yes,hs or lower,no,apr thru jun
124000,45,white,66,female,yes,30,english,no,grad,no,apr thru jun
5000,20,white,30,female,yes,10,english,no,college,no,jul thru sep
113000,60,white,51,male,yes,1,english,no,college,no,jul thru sep
17200,40,white,49,female,yes,10,english,yes,college,no,jan thru mar
0,40,white,39,female,yes,15,english,yes,grad,no,oct thru dec
31000,70,white,21,male,yes,25,english,no,hs or lower,no,apr thru jun
0,40,white,58,female,yes,20,english,yes,grad,no,jan thru mar
48000,60,black,37,male,no,30,english,yes,grad,no,jul thru sep
3300,9,white,51,female,yes,5,english,yes,hs or lower,no,jan thru mar
7000,38,white,20,male,yes,15,english,no,hs or lower,no,jul thru sep
12900,16,white,56,female,yes,10,english,yes,hs or lower,no,jan thru mar
44000,48,white,34,male,yes,20,english,yes,hs or lower,no,jul thru sep
90000,70,white,32,male,yes,15,english,yes,college,no,jan thru mar
6600,40,white,40,female,yes,20,other,no,hs or lower,no,jan thru mar
0,30,white,35,male,yes,1,english,yes,college,no,oct thru dec
24000,40,other,26,female,yes,15,english,yes,college,no,apr thru jun
28000,40,white,49,female,no,15,other,no,hs or lower,no,oct thru dec
40000,40,white,36,male,yes,15,english,yes,college,no,apr thru jun
1000,6,other,64,female,yes,10,english,yes,college,no,oct thru dec
20000,40,black,37,male,yes,10,english,no,hs or lower,no,apr thru jun
30000,40,white,34,male,yes,25,english,yes,hs or lower,no,oct thru dec
18000,40,white,32,female,yes,128,english,no,hs or lower,no,apr thru jun
29000,40,white,23,male,yes,40,other,no,hs or lower,no,jul thru sep
13000,40,white,22,female,yes,30,english,yes,grad,no,apr thru jun
16800,40,other,22,female,yes,10,english,no,hs or lower,no,apr thru jun
40000,50,white,31,female,yes,15,other,yes,grad,no,jul thru sep
28600,40,white,53,male,yes,30,english,no,hs or lower,no,oct thru dec
7800,12,white,30,female,yes,15,english,yes,college,no,jan thru mar
65000,50,white,30,female,yes,45,english,no,college,no,oct thru dec
35000,40,white,55,male,yes,15,other,yes,hs or lower,no,apr thru jun
6000,8,white,33,female,no,30,other,yes,hs or lower,no,jul thru sep
55000,40,white,53,male,yes,5,english,yes,hs or lower,no,apr thru jun
59000,40,white,65,female,yes,10,english,yes,college,no,jan thru mar
12900,25,white,54,female,yes,10,other,yes,hs or lower,no,jul thru sep
42000,40,white,47,male,yes,45,english,no,hs or lower,no,jan thru mar
72000,40,white,51,female,yes,28,english,yes,hs or lower,no,apr thru jun
400,20,white,28,female,yes,15,english,yes,college,no,jan thru mar
180000,60,white,64,male,yes,20,english,yes,grad,no,oct thru dec
0,10,white,29,male,yes,20,english,no,college,no,jan thru mar
92000,40,white,39,male,yes,70,other,yes,hs or lower,no,oct thru dec
75000,45,white,30,male,yes,30,other,yes,grad,no,oct thru dec
60000,84,white,43,male,yes,10,other,yes,hs or lower,yes,jul thru sep
35000,56,white,34,male,yes,40,english,yes,college,no,jan thru mar
92000,40,white,46,female,yes,20,english,no,college,no,oct thru dec
40000,40,white,30,male,yes,40,english,yes,college,no,jul thru sep
20400,40,white,40,female,yes,20,english,yes,college,no,jul thru sep
88000,50,asian,34,female,yes,25,english,no,grad,no,jul thru sep
9100,30,other,63,female,yes,40,other,yes,hs or lower,no,jul thru sep
55000,40,black,27,female,yes,25,english,no,grad,no,jul thru sep
50000,27,white,33,female,yes,45,english,yes,college,no,oct thru dec
8900,40,white,50,female,yes,5,other,no,hs or lower,yes,apr thru jun
30000,30,white,38,female,yes,30,english,yes,college,no,jul thru sep
5000,15,white,22,female,yes,10,english,no,college,no,jan thru mar
26000,45,white,39,female,yes,20,english,yes,hs or lower,no,jul thru sep
21500,40,white,44,female,yes,8,english,yes,hs or lower,no,apr thru jun
25000,40,other,56,female,yes,5,other,yes,hs or lower,no,jan thru mar
62000,68,white,49,female,yes,75,english,no,college,no,jan thru mar
60000,40,black,54,female,yes,90,english,yes,hs or lower,no,oct thru dec
40000,40,other,30,female,yes,10,other,yes,grad,no,jul thru sep
49000,40,white,48,male,yes,15,english,yes,hs or lower,no,jul thru sep
190000,50,white,48,male,yes,45,english,yes,grad,no,jan thru mar
18000,40,other,56,female,yes,8,other,yes,hs or lower,yes,oct thru dec
10000,10,white,73,male,yes,60,english,yes,hs or lower,yes,jul thru sep
30000,40,white,66,male,yes,5,other,yes,hs or lower,no,oct thru dec
78000,40,white,45,male,yes,45,english,no,grad,no,apr thru jun
13000,15,white,27,female,yes,20,english,no,hs or lower,no,apr thru jun
6200,35,black,20,female,yes,30,english,no,hs or lower,no,jul thru sep
7000,15,white,22,male,yes,15,english,no,hs or lower,no,jan thru mar
63000,50,white,24,male,yes,6,english,no,college,no,oct thru dec
1600,15,black,22,female,yes,10,english,no,hs or lower,no,jul thru sep
48900,40,white,43,male,yes,20,english,yes,college,no,oct thru dec
5000,25,white,48,female,yes,10,english,yes,hs or lower,yes,jul thru sep
28000,40,white,25,female,yes,45,english,no,college,no,oct thru dec
12000,38,white,62,female,yes,20,english,no,hs or lower,no,jan thru mar
33300,40,white,54,female,yes,10,english,yes,hs or lower,yes,apr thru jun
85000,40,white,52,male,yes,8,english,yes,college,no,jul thru sep
65000,48,white,53,male,yes,45,english,yes,hs or lower,yes,oct thru dec
70000,40,asian,63,male,yes,30,english,no,college,no,jan thru mar
105000,50,asian,36,male,yes,30,english,yes,college,no,apr thru jun
